ISPB,Nome_Reduzido,Número_Código,Participa_da_Compe,Acesso_Principal,Nome_Extenso,Início_da_Operação
15357060,BCO WOORI BANK DO BRASIL S.A.,124,Sim,RSFN,Banco Woori Bank do Brasil S.A.,09/08/2012
15489568,INTRA DTVM,549,Não,RSFN,INTRA INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,19/06/2023
15581638,FACTA S.A. CFI,149,Não,RSFN,Facta Financeira S.A. - Crédito Financiamento e Investimento,08/07/2015
16501555,STONE IP S.A.,197,Não,RSFN,STONE INSTITUIÇÃO DE PAGAMENTO S.A.,18/10/2017
16695922,ID CTVM,439,Não,RSFN,ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,30/09/2021
16944141,BROKER BRASIL CC LTDA.,142,Não,RSFN,Broker Brasil Corretora de Câmbio Ltda.,23/06/2015
17079937,PINBANK IP,529,Não,RSFN,PINBANK BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.,16/11/2022
17184037,BCO MERCANTIL DO BRASIL S.A.,389,Sim,RSFN,Banco Mercantil do Brasil S.A.,22/04/2002
17298092,BCO ITAÚ BBA S.A.,184,Não,RSFN,Banco Itaú BBA S.A.,22/04/2002
17351180,BCO TRIANGULO S.A.,634,Sim,RSFN,BANCO TRIANGULO S.A.,22/04/2002
17352220,SENSO CCVM S.A.,545,Não,Internet,SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A,27/09/2010
17453575,ICBC DO BRASIL BM S.A.,132,Não,RSFN,ICBC do Brasil Banco Múltiplo S.A.,26/09/2013
17772370,VIPS CC LTDA.,298,Não,Internet,Vip's Corretora de Câmbio Ltda.,15/08/2018
17826860,BMS SCD S.A.,377,Não,RSFN,BMS SOCIEDADE DE CRÉDITO DIRETO S.A.,01/10/2020
18188384,CREFAZ SCMEPP LTDA,321,Não,RSFN,CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.,11/06/2019
18189547,CLOUDWALK IP LTDA,542,Não,RSFN,CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVICOS LTDA,19/07/2023
18236120,NU PAGAMENTOS - IP,260,Não,RSFN,NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,10/10/2017
18394228,CDC SCD S.A.,470,Não,RSFN,CDC SOCIEDADE DE CRÉDITO DIRETO S.A.,15/03/2022
18520834,UBS BRASIL BI S.A.,129,Não,RSFN,UBS Brasil Banco de Investimento S.A.,12/03/2014
18684408,AZIMUT BRASIL DTVM LTDA,562,Não,RSFN,AZIMUT BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,08/01/2024
19307785,BRAZA BANK S.A. BCO DE CÂMBIO,128,Não,RSFN,BRAZA BANK S.A. BANCO DE CÂMBIO,27/04/2015
19324634,LAMARA SCD S.A.,416,Não,Internet,LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A.,08/04/2021
19468242,ZOOP MEIOS DE PAGAMENTO,595,Não,RSFN,ZOOP TECNOLOGIA & INSTITUICAO DE PAGAMENTO S.A.,21/03/2024
19540550,ASAAS IP S.A.,461,Não,RSFN,ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.,29/10/2021
20155248,UNIDA DTVM LTDA,194,Não,RSFN,UNIDA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,25/10/2017
20251847,SUDACRED SCMEPP LTDA,538,Não,RSFN,SUDACRED - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,08/05/2023
20308187,PROVER PROMOCAO DE VENDAS IP LTDA.,588,Não,RSFN,PROVER PROMOCAO DE VENDAS INSTITUICAO DE PAGAMENTO LTDA,04/03/2024
20757199,PAY4FUN IP S.A.,561,Não,RSFN,PAY4FUN INSTITUICAO DE PAGAMENTO S.A.,18/10/2023
20855875,NEON PAGAMENTOS S.A. IP,536,Não,RSFN,NEON PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,12/01/2023
21018182,EBANX IP LTDA.,383,Não,RSFN,EBANX INSTITUICAO DE PAGAMENTOS LTDA.,09/07/2020
21332862,CARTOS SCD S.A.,324,Não,RSFN,CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.,16/09/2020
21995256,MAG IP LTDA.,560,Não,RSFN,MAG INSTITUICAO DE PAGAMENTO LTDA,17/10/2023
22575466,SRM BANK,533,Não,RSFN,SRM BANK INSTITUIÇÃO DE PAGAMENTO S/A,17/07/2023
22610500,VORTX DTVM LTDA.,310,Não,RSFN,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,18/10/2018
22896431,PICPAY,380,Não,RSFN,PICPAY INSTITUIçãO DE PAGAMENTO S.A.,15/10/2020
23114447,FLAGSHIP IP LTDA,566,Não,RSFN,FLAGSHIP INSTITUICAO DE PAGAMENTOS LTDA,30/10/2023
23862762,WILL FINANCEIRA S.A.CFI,280,Não,RSFN,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",10/05/2018
24074692,GUITTA CC LTDA,146,Não,Internet,GUITTA CORRETORA DE CAMBIO LTDA.,20/05/2015
24537861,FFA SCMEPP LTDA.,343,Não,RSFN,FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,12/11/2019
27098060,BANCO DIGIO,335,Não,RSFN,Banco Digio S.A.,25/11/2019
27214112,AL5 S.A. CFI,349,Não,RSFN,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",24/10/2019
